Category,Front,Inside,Tags
"New Light in the Grove","What a gift — to witness a new story beginning.","Wishing you sleepy snuggles,
tiny yawns,
and all the quiet magic
that comes with welcoming new life.
Congratulations on your beautiful baby.","new-baby,baby,tender,blessing"
"Encouragement & Healing","The light always returns — even after the longest night.","Sending you warmth for the difficult days,
patience for the healing,
and the gentle reminder that brighter mornings are coming.
You're not alone in this.","thinking,healing,hope,support"
"Encouragement & Healing","Healing isn't linear — but you're moving forward, and that's what matters.","Some days will feel like progress.
Some will feel like setbacks.
But even on the hard days,
you're still here, still trying, still healing.
And that takes courage.","thinking,recovery,courage,realistic"
"Encouragement & Healing","You're stronger than you know.","Even when you don't feel strong,
even when the days are heavy,
you're still standing — and that matters.
Wishing you gentleness, rest, and brighter days ahead.","thinking,strength,gentle,encouragement"
"Friendship & Connection","You're one of the steady lights I look for in the dark.","Some people make the world feel less lonely,
just by existing in it.
You're one of those people.
Thank you for being a constant,
a joy, a light.","thinking,friendship,gratitude,steady"
"Friendship & Connection","Friendships like ours don't need a reason — they just are.","I'm grateful for you in the everyday,
unspoken ways —
the kind of gratitude that doesn't need a special occasion,
just a quiet acknowledgment that you matter.","thinking,friendship,simple,everyday"
"Friendship & Connection","Some people are home, no matter where you are.","You're that person for me.
The one I think of when I need steadiness.
The one who makes life feel a little lighter,
a little warmer, a little more like home.","thinking,friendship,home,comfort"
"Pet Remembrance","Their joy was simple, their love was pure — and it still glows.","They left paw prints on your heart
that time will never erase.
Their light was bright, their presence a gift,
and the love you shared
will always be a part of who you are.","sympathy,condolence,pet,loss,memorial"
"Pet Remembrance","They were small in size, but immeasurable in love.","The world feels quieter without them —
but the love they gave doesn't fade.
It lives on in every memory,
every walk, every quiet moment
they made extraordinary just by being there.","sympathy,condolence,pet,remembrance,love"
"Pet Remembrance","Some souls leave footprints that never wash away.","They gave you their whole heart,
and in return, you gave them the best life.
That kind of love doesn't end —
it just becomes part of the story you carry.","sympathy,condolence,pet,legacy,heartfelt"
"Just Because","No occasion, no need — just a little light to remind you you're loved.","Sometimes the best moments are the unplanned ones—
the unexpected reminders that someone's thinking of you.
This is one of those moments.
You matter. You're appreciated. You're loved.","thinking,just-because,simple,love"
"Just Because","Just checking in to say: you're thought of.","Not because it's your birthday,
not because of a holiday —
just because you're you,
and that's reason enough.","thinking,just-because,everyday,care"
"Just Because","Sometimes we need a reminder that we're seen.","This is yours.
You're doing better than you think.
You're more loved than you realize.
And you're exactly who you're meant to be.","thinking,encouragement,affirmation,kindness"
